Posicao,Time,J,V,E,D,GP,GC,SG,Pts,Amarelos,Vermelhos
1,Flamengo,38,23,10,5,78,27,51,79,80,5
2,Palmeiras,38,23,7,8,66,33,33,76,74,5
3,Cruzeiro,38,19,13,6,55,31,24,70,107,5
4,Mirassol,38,18,13,7,63,39,24,67,84,1
5,Fluminense,38,19,7,12,50,39,11,64,76,3
6,Botafogo–RJ,38,17,12,9,58,38,20,63,93,5
7,Bahia,38,17,9,12,50,46,4,60,85,6
8,São Paulo,38,14,9,15,43,47,-4,51,96,2
9,Grêmio,38,13,10,15,47,50,-3,49,104,5
10,RB Bragantino,38,14,6,18,45,57,-12,48,111,3
11,Atlético Mineiro,38,12,12,14,43,44,-1,48,93,8
12,Santos,38,12,11,15,45,50,-5,47,98,4
13,Corinthians,38,12,11,15,42,47,-5,47,108,5
14,Vasco da Gama,38,13,6,19,55,60,-5,45,77,7
15,Vitória,38,11,12,15,35,52,-17,45,112,7
16,Internacional,38,11,11,16,44,57,-13,44,85,7
17,Ceará,38,11,10,17,34,40,-6,43,84,2
18,Fortaleza,38,11,10,17,43,58,-15,43,110,9
19,Juventude,38,9,8,21,35,69,-34,35,108,5
20,Sport Recife,38,2,11,25,28,75,-47,17,96,3
