Time,J_Casa,V_Casa,E_Casa,D_Casa,GP_Casa,GC_Casa,J_Fora,V_Fora,E_Fora,D_Fora,GP_Fora,GC_Fora
Flamengo,19,14,5,0,46,8,19,9,5,5,32,19
Palmeiras,19,12,5,2,35,11,19,11,2,6,31,22
Cruzeiro,19,13,4,2,35,14,19,6,9,4,20,17
Mirassol,19,12,7,0,42,17,19,6,6,7,21,22
Fluminense,19,15,1,3,31,11,19,4,6,9,19,28
Botafogo–RJ,19,11,5,3,39,24,19,6,7,6,19,14
Bahia,19,14,3,2,33,14,19,3,6,10,17,32
São Paulo,19,10,4,5,27,17,19,4,5,10,16,30
Grêmio,19,9,5,5,24,17,19,4,5,10,23,33
RB Bragantino,19,9,4,6,27,24,19,5,2,12,18,33
Atlético Mineiro,19,9,8,2,30,18,19,3,4,12,13,26
Santos,19,8,6,5,24,19,19,4,5,10,21,31
Corinthians,19,8,6,5,27,18,19,4,5,10,15,29
Vasco da Gama,19,8,4,7,31,26,19,5,2,12,24,34
Vitória,19,9,6,4,21,15,19,2,6,11,14,37
Internacional,19,8,6,5,27,20,19,3,5,11,17,37
Ceará,19,7,5,7,20,18,19,4,5,10,14,22
Fortaleza,19,8,3,8,23,23,19,3,7,9,20,35
Juventude,19,6,5,8,21,26,19,3,3,13,14,43
Sport Recife,19,1,7,11,17,39,19,1,4,14,11,36
