Rodada,Data,Casa,Placar,Fora
1,2025-03-29,São Paulo,0–0,Sport Recife
1,2025-03-29,Grêmio,2–1,Atlético Mineiro
1,2025-03-29,Cruzeiro,2–1,Mirassol
1,2025-03-29,Fortaleza,2–0,Fluminense
1,2025-03-29,Juventude,2–0,Vitória
1,2025-03-29,Flamengo,1–1,Internacional
1,2025-03-30,Palmeiras,0–0,Botafogo–RJ
1,2025-03-30,Vasco da Gama,2–1,Santos
1,2025-03-30,Bahia,1–1,Corinthians
1,2025-03-31,RB Bragantino,2–2,Ceará
2,2025-04-05,Corinthians,3–0,Vasco da Gama
2,2025-04-05,Ceará,2–0,Grêmio
2,2025-04-05,Botafogo–RJ,2–0,Juventude
2,2025-04-06,Atlético Mineiro,0–0,São Paulo
2,2025-04-06,Fluminense,2–1,RB Bragantino
2,2025-04-06,Sport Recife,1–2,Palmeiras
2,2025-04-06,Internacional,3–0,Cruzeiro
2,2025-04-06,Vitória,1–2,Flamengo
2,2025-04-06,Mirassol,1–1,Fortaleza
2,2025-04-06,Santos,2–2,Bahia
3,2025-04-12,RB Bragantino,1–0,Botafogo–RJ
3,2025-04-12,Juventude,2–1,Ceará
3,2025-04-12,Palmeiras,2–0,Corinthians
3,2025-04-12,Vasco da Gama,3–1,Sport Recife
3,2025-04-13,Bahia,1–1,Mirassol
3,2025-04-13,Grêmio,0–2,Flamengo
3,2025-04-13,São Paulo,1–1,Cruzeiro
3,2025-04-13,Fluminense,1–0,Santos
3,2025-04-13,Fortaleza,0–0,Internacional
3,2025-04-13,Atlético Mineiro,2–2,Vitória
4,2025-04-15,Ceará,2–1,Vasco da Gama
4,2025-04-16,Botafogo–RJ,2–2,São Paulo
4,2025-04-16,Mirassol,4–1,Grêmio
4,2025-04-16,Sport Recife,0–1,RB Bragantino
4,2025-04-16,Corinthians,0–2,Fluminense
4,2025-04-16,Internacional,0–1,Palmeiras
4,2025-04-16,Flamengo,6–0,Juventude
4,2025-04-16,Santos,2–0,Atlético Mineiro
4,2025-04-16,Vitória,2–1,Fortaleza
4,2025-04-17,Cruzeiro,3–0,Bahia
5,2025-04-19,Corinthians,2–1,Sport Recife
5,2025-04-19,Vasco da Gama,0–0,Flamengo
5,2025-04-19,Grêmio,1–1,Internacional
5,2025-04-20,Juventude,2–2,Mirassol
5,2025-04-20,São Paulo,2–1,Santos
5,2025-04-20,Atlético Mineiro,1–0,Botafogo–RJ
5,2025-04-20,Fluminense,1–1,Vitória
5,2025-04-20,Fortaleza,1–2,Palmeiras
5,2025-04-20,RB Bragantino,1–0,Cruzeiro
5,2025-04-21,Bahia,1–0,Ceará
6,2025-04-26,Internacional,3–1,Juventude
6,2025-04-26,Ceará,1–1,São Paulo
6,2025-04-26,Mirassol,2–2,Atlético Mineiro
6,2025-04-26,Sport Recife,0–0,Fortaleza
6,2025-04-26,Botafogo–RJ,2–0,Fluminense
6,2025-04-27,Flamengo,4–0,Corinthians
6,2025-04-27,Palmeiras,0–1,Bahia
